Game 1,06/21/2023,Wednesday,5:45 pm,Billerica,Reading Black,Washington Park,Scheduled
Game 2,06/21/2023,Wednesday,5:45 pm,Belmont/Watertown,Newton,Newton North High School,Scheduled
Game 4,06/21/2023,Wednesday,5:45 pm,Woburn,Brookline,Warren Field,Scheduled
Game 6,06/21/2023,Wednesday,5:45 pm,Medford/North End,Reading Red,Morton Field,Scheduled
Game 3,06/21/2023,Wednesday,7:00 pm,Waltham,Acton-Boxborough,ABRHS Field 1,Scheduled
Game 5,06/21/2023,Wednesday,7:30 pm,The Base,Cambridge,St Peters,Scheduled
Game 8,06/22/2023,Thursday,5:45 pm,The Base,Brookline,Warren Field,Scheduled
Game 9,06/22/2023,Thursday,5:45 pm,Billerica,Reading Red,Morton Field,Scheduled
Game 12,06/22/2023,Thursday,5:45 pm,Reading Black,Belmont/Watertown,Washington Park,Scheduled
Game 7,06/22/2023,Thursday,6:45 pm,Cambridge,Medford/North End,East Boston Memorial Stadium,Scheduled
Game 11,06/22/2023,Thursday,7:00 pm,Woburn,Acton-Boxborough,ABRHS Field 1,Scheduled
Game 10,06/22/2023,Thursday,7:15 pm,Newton,Waltham,Cacciatore Field ,Scheduled
Game 14,06/26/2023,Monday,5:45 pm,Cambridge,Brookline,Warren Field,Scheduled
Game 15,06/26/2023,Monday,5:45 pm,Woburn,The Base,Woburn High School,Rain-Out
Game 17,06/27/2023,Tuesday,5:45 pm,Waltham,Billerica,Locke - Boutwell Field,Scheduled
Game 20,06/27/2023,Tuesday,5:45 pm,Reading Red,The Base,Morton Field,Scheduled
Game 21,06/27/2023,Tuesday,6:45 pm,Brookline,Medford/North End,East Boston Memorial Stadium,Scheduled
Game 18,06/27/2023,Tuesday,7:00 pm,Acton-Boxborough,Belmont/Watertown,ABRHS Field 1,Rain-Out
Game 19,06/27/2023,Tuesday,7:30 pm,Reading Black,Cambridge,St Peters,Scheduled
Game 22,06/28/2023,Wednesday,5:45 pm,Newton,Woburn,Woburn High School,Scheduled
Game 24,06/28/2023,Wednesday,5:45 pm,Reading Red,Belmont/Watertown,Morton Field,Scheduled
Game 28,06/29/2023,Thursday,5:45 pm,Billerica,Belmont/Watertown,Locke - Boutwell Field,Scheduled
Game 29,06/29/2023,Thursday,5:45 pm,Reading Black,Newton,Newton North High School,Scheduled
Game 27,06/29/2023,Thursday,6:45 pm,The Base,Medford/North End,East Boston Memorial Stadium,Scheduled
Game 25,06/29/2023,Thursday,7:00 pm,Brookline,Acton-Boxborough,ABRHS Field 1,Postponed
Game 30,06/29/2023,Thursday,7:15 pm,Woburn,Waltham,Cacciatore Field ,Scheduled
Game 13,07/01/2023,Saturday,9:00 am,Reading Black,Reading Red,Morton Field,Scheduled
Game 31,07/06/2023,Thursday,5:45 pm,Newton,The Base,Newton North High School,Scheduled
Game 32,07/06/2023,Thursday,5:45 pm,Reading Black,Woburn,Woburn High School,Scheduled
Game 34,07/06/2023,Thursday,6:45 pm,Brookline,Waltham,Nipper Maher,Scheduled
Game 82,07/06/2023,Thursday,6:45 pm,Belmont/Watertown,Medford/North End,East Boston Memorial Stadium,Scheduled
Game 26,07/09/2023,Sunday,5:00 pm,Cambridge,Reading Red,Morton Field,Scheduled
Game 38,07/10/2023,Monday,5:45 pm,Waltham,The Base,English HS in JP,Rain-Out
Game 40,07/11/2023,Tuesday,5:45 pm,The Base,Billerica,Locke - Boutwell Field,Scheduled
