Game 206,06/21/2023,Wednesday,5:30 pm,Chelmsford Black,Waltham,Cacciatore Field ,Scheduled
Game 202,06/21/2023,Wednesday,5:45 pm,Winthrop,Brookline,Amory Field,Scheduled
Game 203,06/21/2023,Wednesday,5:45 pm,North Andover,Marblehead,Seaside Park,Scheduled
Game 204,06/21/2023,Wednesday,5:45 pm,Reading Red,Medford,Playstead Park,Scheduled
Game 209,06/21/2023,Wednesday,5:45 pm,Acton-Boxborough,Belmont,Town Field,Scheduled
Game 211,06/21/2023,Wednesday,5:45 pm,Wayland,Needham,Walker Gordon Field,Scheduled
Game 208,06/21/2023,Wednesday,6:30 pm,Billerica,Jamaica Plain,Billings Field,Scheduled
Game 205,06/21/2023,Wednesday,7:00 pm,Cambridge,North End,Puopolo Park,Scheduled
Game 207,06/21/2023,Wednesday,7:00 pm,Bedford,Chelmsford Maroon,Volunteer Field,Scheduled
Game 214,06/22/2023,Thursday,5:45 pm,Reading Black,Medford,Playstead Park,Scheduled
Game 216,06/22/2023,Thursday,5:45 pm,Brookline,North Andover,Grogans Field,Scheduled
Game 219,06/22/2023,Thursday,5:45 pm,Lincoln-Sudbury,Wayland,Wayland High School,Scheduled
Game 220,06/22/2023,Thursday,5:45 pm,Winchester,Belmont,Town Field,Scheduled
Game 221,06/22/2023,Thursday,5:45 pm,Chelmsford Black,Needham,Warner Field DeFazio Park,Scheduled
Game 223,06/22/2023,Thursday,6:30 pm,Acton-Boxborough,Jamaica Plain,Billings Field,Scheduled
Game 215,06/22/2023,Thursday,7:00 pm,Andover,North End,Puopolo Park,Scheduled
Game 222,06/22/2023,Thursday,7:00 pm,Bedford,Billerica,Locke School - Fielding Field,Scheduled
Game 224,06/22/2023,Thursday,7:00 pm,Waltham,Chelmsford Maroon,Volunteer Field,Scheduled
Game 227,06/26/2023,Monday,5:45 pm,Haverhill,Medford,Playstead Park,Scheduled
Game 229,06/26/2023,Monday,5:45 pm,Brookline,Marblehead,Seaside Park,Scheduled
Game 230,06/26/2023,Monday,5:45 pm,Winthrop,North Andover,Grogans Field,Rain-Out
Game 231,06/26/2023,Monday,5:45 pm,Waltham,Needham,Warner Field DeFazio Park,Scheduled
Game 232,06/26/2023,Monday,5:45 pm,Lincoln-Sudbury,Belmont,Town Field,Scheduled
Game 233,06/26/2023,Monday,5:45 pm,Acton-Boxborough,Winchester,Skillings Field,Scheduled
Game 225,06/26/2023,Monday,6:30 pm,Andover,Melrose,Morelli Field,Scheduled
Game 235,06/26/2023,Monday,6:30 pm,Bedford,Jamaica Plain,Billings Field,Scheduled
Game 234,06/26/2023,Monday,7:00 pm,Wayland,Chelmsford Black,Volunteer Field,Rain-Out
Game 210,06/27/2023,Tuesday,5:45 pm,Winchester,Lincoln-Sudbury,Feeley Field,Scheduled
Game 218,06/27/2023,Tuesday,5:45 pm,Melrose,Winthrop,Winthrop High School,Scheduled
Game 245,06/28/2023,Wednesday,5:30 pm,Lincoln-Sudbury,Waltham,Cacciatore Field ,Scheduled
Game 247,06/28/2023,Wednesday,5:45 pm,Belmont,Wayland,Wayland High School,Scheduled
Game 226,06/28/2023,Wednesday,7:00 pm,Melrose,North End,Puopolo Park,Scheduled
Game 243,06/28/2023,Wednesday,7:00 pm,Chelmsford Black,Billerica,Locke School - Fielding Field,Rain-Out
Game 249,06/29/2023,Thursday,5:45 pm,Medford,Marblehead,Seaside Park,Scheduled
