Game 500,06/21/2023,Wednesday,5:45 pm,Andover,Acton-Boxborough,ABRHS Field 2,Scheduled
Game 501,06/21/2023,Wednesday,5:45 pm,Wayland/Weston,North Andover,Grogans Field,Scheduled
Game 502,06/21/2023,Wednesday,5:45 pm,Belmont,Wayland,Wayland High School,Scheduled
Game 504,06/21/2023,Wednesday,5:45 pm,Brookline,Woburn,Woburn High School,Scheduled
Game 505,06/21/2023,Wednesday,5:45 pm,Winthrop,Arlington,Spy Pond Park,Scheduled
Game 506,06/21/2023,Wednesday,5:45 pm,Cambridge,Winchester,McDonald Field,Scheduled
Game 507,06/21/2023,Wednesday,5:45 pm,Marblehead,Reading Black,Symonds Field,Scheduled
Game 503,06/21/2023,Wednesday,7:00 pm,Waltham,Billerica,Locke School-Fielding Field,Scheduled
Game 508,06/22/2023,Thursday,5:45 pm,Waltham,Wayland/Weston,Weston High School,Scheduled
Game 509,06/22/2023,Thursday,5:45 pm,Belmont,Lincoln-Sudbury,Feeley Field,Scheduled
Game 510,06/22/2023,Thursday,5:45 pm,Chelmsford,Billerica,Locke School - Boutwell Field,Scheduled
Game 511,06/22/2023,Thursday,5:45 pm,North Andover,Acton-Boxborough,ABRHS Field 2,Scheduled
Game 512,06/22/2023,Thursday,5:45 pm,Wayland,Andover,Andover High School,Scheduled
Game 513,06/22/2023,Thursday,5:45 pm,Melrose,Winchester,McDonald Field,Scheduled
Game 514,06/22/2023,Thursday,5:45 pm,Maynard/Stow,Reading Black,Symonds Field,Scheduled
Game 515,06/22/2023,Thursday,5:45 pm,Brookline,Arlington,Spy Pond Park,Scheduled
Game 516,06/22/2023,Thursday,5:45 pm,Cambridge,Woburn,Woburn High School,Scheduled
Game 517,06/26/2023,Monday,5:45 pm,North Andover,Wayland,Wayland High School,Scheduled
Game 519,06/26/2023,Monday,5:45 pm,Wayland/Weston,Lincoln-Sudbury,Feeley Field,Scheduled
Game 520,06/26/2023,Monday,5:45 pm,Belmont,Chelmsford,Chelmsford High School,Rain-Out
Game 523,06/26/2023,Monday,5:45 pm,Marblehead,Maynard/Stow,Crowe Park,Scheduled
Game 524,06/26/2023,Monday,5:45 pm,Melrose,Winthrop,Winthrop High School,Scheduled
Game 522,06/27/2023,Tuesday,5:45 pm,Arlington,Cambridge,Robbins Farm Park,Scheduled
Game 526,06/27/2023,Tuesday,5:45 pm,Billerica,Belmont,Town Field,Scheduled
Game 530,06/27/2023,Tuesday,5:45 pm,Winchester,Reading Black,Skilling Field,Scheduled
Game 533,06/27/2023,Tuesday,5:45 pm,Maynard/Stow,Reading Red,Symonds Field,Scheduled
Game 534,06/27/2023,Tuesday,5:45 pm,Wayland,Acton-Boxborough,ABRHS Field 2,Scheduled
Game 532,06/27/2023,Tuesday,6:30 pm,Woburn,Melrose,Morelli Field,Scheduled
Game 529,06/27/2023,Tuesday,7:00 pm,Wayland/Weston,Chelmsford,Volunteer Field,Scheduled
Game 527,06/27/2023,Tuesday,7:15 pm,North Andover,Waltham,Cacciatore Field ,Scheduled
Game 536,06/28/2023,Wednesday,5:45 pm,Andover,Belmont,Town Field,Scheduled
Game 537,06/28/2023,Wednesday,5:45 pm,Chelmsford,Lincoln-Sudbury,Feeley Field,Scheduled
Game 538,06/28/2023,Wednesday,5:45 pm,Winthrop,Marblehead,Marblehead High School,Scheduled
